Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8200 0000 0000 0000 0000 5903 1100 001F FEFE FEFE FEFE 0000 0010 0200 0D05 7800 8020 7007 FEFE FEFE 0000 0000 0000 8000 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7D00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7200 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8300 0000 0000 0000 0000 5903 1100 001F FEFE FEFE FEFE 0000 0010 0200 0D05 7800 A020 7F0F FEFE FEFE 0000 0000 0000 8000 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7D00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7200 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8400 0000 0000 0000 0000 5903 1100 001F FEFE FEFE FEFE 0000 0010 0200 0D05 7800 B020 0F0F FEFE FEFE 0000 0000 0000 8000 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7D00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7200 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8500 0000 0000 0000 0000 5903 1100 001F FEFE FEFE FEFE 0000 0010 0200 7903 4F00 D020 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7D00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7200 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8600 0000 0000 0000 0000 5903 1100 001F FEFE FEFE FEFE 0000 0010 0200 7903 4F00 F020 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7D00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7200 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8700 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 3400 0000 0021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8800 0000 0000 0000 0000 5A03 1100 101F FEFE FEFE FEFE 0000 0010 0200 3400 0000 1021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8900 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 2200 0000 2021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8A00 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 2200 0000 2021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
Id_var: 0x65000804 (dev_id: 6 var_id: 5 offs:256 rtr:0-wr ); len: 128; data: F10F 8260 0000 8B00 0000 0000 0000 0000 5A03 1100 001F FEFE FEFE FEFE 0000 0010 0200 1E00 0000 3021 0F0F FEFE FEFE 0000 0000 0000 8100 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7E00 0000 0000 0F0F FEFE FEFE 0000 0000 00FE 7300 0000 0000 000F FEFE FEFE 0000 0000 0000 0000 0000 0000 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE
Id_var: 0x65000802 (dev_id: 6 var_id: 5 offs:256 rtr:1-rd ); len:   0; data:
